t_s,Power_W,T_local_C,T_remote_C
420,1,36.067770632628,32.1814578112728
421,1,36.0885704009608,32.1970078228164
422,1,36.1093450479222,32.2125390873825
423,1,36.1300946038695,32.2280516268305
424,1,36.1508190991228,32.2435454630119
425,1,36.1715185639652,32.2590206177696
426,1,36.1921930286431,32.2744771129375
427,1,36.2128425233657,32.2899149703405
428,1,36.2334670783054,32.3053342117936
429,1,36.254066723598,32.3207348591017
430,1,36.2746414893422,32.3361169340595
431,1,36.2951914056003,32.3514804584508
432,1,36.3157165023979,32.3668254540481
433,1,36.3362168097239,32.3821519426127
434,1,36.3566923575308,32.3974599458939
435,1,36.3771431757345,32.4127494856289
436,1,36.3975692942145,32.4280205835424
437,1,36.4179707428141,32.4432732613465
438,1,36.4383475513398,32.45850754074
439,1,36.4586997495624,32.4737234434086
440,1,36.479027367216,32.4889209910241
441,1,36.4993304339988,32.5041002052445
442,1,36.5196089795726,32.5192611077137
443,1,36.5398630335636,32.534403720061
444,1,36.5600926255614,32.5495280639009
445,1,36.5802977851199,32.5646341608332
446,1,36.6004785417572,32.5797220324424
447,1,36.6206349249551,32.5947917002975
448,1,36.6407669641601,32.6098431859517
449,1,36.6608746887825,32.6248765109426
450,1,36.6809581281969,32.6398916967915
451,1,36.7010173117425,32.6548887650034
452,1,36.7210522687225,32.6698677370668
453,1,36.7410630284047,32.6848286344534
454,1,36.7610496200215,32.6997714786179
455,1,36.7810120727694,32.7146962909982
456,1,36.8009504158097,32.7296030930145
457,1,36.8208646782684,32.7444919060696
458,1,36.8407548892359,32.759362751549
459,1,36.8606210777674,32.7742156508198
460,1,36.8804632728829,32.7890506252315
461,1,36.9002815035671,32.8038676961152
462,1,36.9200757987696,32.8186668847839
463,1,36.9398461874047,32.8334482125321
464,1,36.9595926983519,32.8482117006354
465,1,36.9793153604554,32.8629573703509
466,1,36.9990142025246,32.8776852429167
467,1,37.0186892533338,32.892395339552
468,1,37.0383405416226,32.9070876814567
469,1,37.0579680960957,32.9217622898113
470,1,37.0775719454228,32.9364191857771
471,1,37.097152118239,32.9510583904956
472,1,37.1167086431448,32.965679925089
473,1,37.1362415487058,32.9802838106593
474,1,37.1557508634532,32.9948700682889
475,1,37.1752366158833,33.0094387190401
476,1,37.1946988344583,33.0239897839552
477,1,37.2141375476055,33.0385232840561
478,1,37.233552783718,33.0530392403446
479,1,37.2529445711545,33.067537673802
480,1,37.2723129382392,33.0820186053892
481,1,37.2916579132621,33.0964820560463
482,1,37.3109795244789,33.1109280466931
483,1,37.330277800111,33.1253565982284
484,1,37.3495527683458,33.1397677315302
485,1,37.3688044573364,33.1541614674557
486,1,37.3880328952018,33.168537826841
487,1,37.4072381100271,33.1828968305013
488,1,37.4264201298632,33.1972384992304
489,1,37.4455789827273,33.2115628538012
490,1,37.4647146966023,33.2258699149653
491,1,37.4838272994376,33.2401597034527
492,1,37.5029168191485,33.2544322399724
493,1,37.5219832836166,33.2686875452118
494,1,37.5410267206898,33.2829256398366
495,1,37.5600471581823,33.2971465444912
496,1,37.5790446238744,33.3113502797983
497,1,37.5980191455131,33.325536866359
498,1,37.6169707508117,33.3397063247525
499,1,37.6358994674499,33.3538586755365
500,1,37.6548053230739,33.3679939392466
501,1,37.6736883452965,33.3821121363968
502,1,37.692548561697,33.3962132874791
503,1,37.7113859998216,33.4102974129635
504,1,37.7302006871828,33.4243645332982
505,1,37.7489926512601,33.4384146689092
506,1,37.7677619194996,33.4524478402006
507,1,37.7865085193142,33.4664640675542
508,1,37.8052324780837,33.48046337133
509,1,37.8239338231548,33.4944457718656
510,1,37.842612581841,33.5084112894765
511,1,37.8612687814228,33.522359944456
512,1,37.8799024491479,33.5362917570751
513,1,37.8985136122307,33.5502067475826
514,1,37.917102297853,33.564104936205
515,1,37.9356685331635,33.5779863431464
516,1,37.9542123452782,33.5918509885889
517,1,37.9727337612803,33.6056988926917
518,1,37.9912328082201,33.6195300755921
519,1,38.0097095131154,33.6333445574047
520,1,38.0281639029511,33.6471423582218
521,1,38.0465960046798,33.6609234981134
522,1,38.0650058452211,33.6746879971268
523,1,38.0833934514623,33.688435875287
524,1,38.1017588502582,33.7021671525965
525,1,38.120102068431,33.7158818490353
526,1,38.1384231327706,33.7295799845608
527,1,38.1567220700345,33.743261579108
528,1,38.1749989069477,33.7569266525895
529,1,38.193253670203,33.7705752248951
530,1,38.2114863864609,33.7842073158921
531,1,38.2296970823498,33.7978229454255
532,1,38.2478857844657,33.8114221333176
533,1,38.2660525193726,33.825004899368
534,1,38.2841973136022,33.8385712633539
535,1,38.3023201936545,33.8521212450298
536,1,38.320421185997,33.8656548641279
537,1,38.3385003170656,33.8791721403575
538,1,38.356557613264,33.8926730934056
